Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
BaseReduzida1_weka,1,1,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-1178107808933117974,2.02104071608E7,13238.0,1471.0,1330.0,141.0,0.0,90.41468388851122,9.585316111488783,0.0,0.8073414436364278,0.09591421048631937,0.30957824130580563,19.299764180792206,62.10571387232828,1464.5086171878236,1930.8037145055234,-466.29509731769986,0.9955870953010357,1.312579003742708,-0.31699190844167224,1181.1538172893913,0.80295976702202,80.65188578797608,0.9041614123581336,717.0,0.09587020648967552,65.0,0.9041297935103245,613.0,0.09583858764186633,76.0,0.9168797953964194,0.9041614123581336,0.9104761904761904,0.8074326498841264,0.9041456029342291,0.8806728644188411,0.9041468388851122,0.09585563301665402,0.9041443669833461,0.09585316111488783,0.9043501226610545,0.9041468388851122,0.9041977700244697,0.8074326498841264,0.904145602934229,0.8658844030664503,0.9036653081130037,0.9041468388851122,13.207,1.781,13.1875,1.734375,13187.5,1734.375,2825231.0,2822070.0,315699.0,90.41468388851122,50.0,?
BaseReduzida1_weka,1,2,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-1178107808933117974,2.02104071608E7,13238.0,1471.0,1322.0,149.0,0.0,89.87083616587356,10.129163834126444,0.0,0.7962798928879814,0.10135186619045636,0.31823944317782615,20.393923974779685,63.843271793018275,1464.5086171878236,2040.3437667670999,-575.8351495792763,0.9955870953010357,1.3870453886927938,-0.3914582933917582,1165.0860438707705,0.7920367395450513,79.55474144686086,0.9029003783102144,716.0,0.10619469026548672,72.0,0.8938053097345132,606.0,0.09709962168978563,77.0,0.9086294416243654,0.9029003783102144,0.9057558507273876,0.7962985003113834,0.8983528440223638,0.8727472098903133,0.8987083616587356,0.1020026736140079,0.8979973263859921,0.10129163834126445,0.8987809903554094,0.8987083616587356,0.8987342525076283,0.7962985003113834,0.8983528440223638,0.8585689635557585,0.8981387629830913,0.8987083616587356,19.343,2.637,17.96875,2.390625,17968.75,2390.625,2825231.0,2822070.0,315699.0,89.87083616587356,50.0,?
BaseReduzida1_weka,1,3,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-1178107808933117974,2.02104071609E7,13238.0,1471.0,1321.0,150.0,0.0,89.80285520054385,10.197144799456153,0.0,0.7951972288277652,0.1020315731534736,0.31930557489206074,20.530693949028148,64.05715268760305,1464.5086171878236,2054.0362732997955,-589.527656111972,0.9955870953010357,1.3963536868115538,-0.40076659151051797,1163.077572193442,0.7906713611104296,79.41759840422141,0.8940731399747793,709.0,0.09734513274336283,66.0,0.9026548672566371,612.0,0.10592686002522068,84.0,0.9148387096774193,0.8940731399747793,0.9043367346938775,0.7954374856897848,0.8983640036157082,0.8750367286087203,0.8980285520054385,0.10130054477402199,0.8986994552259779,0.10197144799456152,0.8984632974624723,0.8980285520054385,0.8981111919533219,0.7954374856897848,0.8983640036157082,0.8582339763337428,0.8975832145085108,0.8980285520054385,17.1,1.682,15.90625,1.65625,15906.25,1656.25,2825231.0,2822070.0,315699.0,89.80285520054385,50.0,?
BaseReduzida1_weka,1,4,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-1178107808933117974,2.02104071609E7,13238.0,1471.0,1310.0,161.0,0.0,89.05506458191707,10.944935418082936,0.0,0.7799669807858648,0.10950834974666175,0.3308063281594502,22.035163665760898,66.36436423040388,1464.5086171878236,2204.653845159439,-740.1452279716152,0.9955870953010357,1.4987449661179053,-0.5031578708168696,1140.9843837428377,0.7756521983295974,77.90902493518796,0.89281210592686,708.0,0.11209439528023599,76.0,0.887905604719764,602.0,0.10718789407313997,85.0,0.9030612244897959,0.89281210592686,0.8979074191502854,0.7800259879151248,0.890358855323312,0.8640478141478751,0.8905506458191706,0.10983293517254658,0.8901670648274533,0.10944935418082936,0.8907145398628906,0.8905506458191706,0.8905991520169583,0.7800259879151248,0.8903588553233119,0.8482229013468574,0.8899793506007837,0.8905506458191706,12.129,1.531,11.90625,1.515625,11906.25,1515.625,2825231.0,2822070.0,315699.0,89.05506458191707,50.0,?
BaseReduzida1_weka,1,5,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-1178107808933117974,2.02104071609E7,13238.0,1471.0,1316.0,155.0,0.0,89.46295037389531,10.537049626104691,0.0,0.7887087701544709,0.10543010796855919,0.3245837102693777,21.21454382027032,65.11602027513241,1464.5086171878236,2122.4988059632706,-657.990188775447,0.9955870953010357,1.4428951774053504,-0.4473080821043148,1153.0352138068029,0.7838444689373235,78.73188319102432,0.8814627994955864,699.0,0.08997050147492626,61.0,0.9100294985250738,617.0,0.11853720050441362,94.0,0.9197368421052632,0.8814627994955864,0.9001931745009659,0.7895080039593813,0.8957461490103301,0.8746159190512606,0.8946295037389531,0.10313720571829295,0.896862794281707,0.1053704962610469,0.8957948232411868,0.8946295037389531,0.894761685981679,0.7895080039593811,0.8957461490103302,0.854597932193082,0.8943010508933915,0.8946295037389531,12.523,1.569,12.21875,1.53125,12218.75,1531.25,2825231.0,2822070.0,315699.0,89.46295037389531,50.0,?
BaseReduzida1_weka,1,6,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-1178107808933117974,2.02104071609E7,13238.0,1471.0,1332.0,139.0,0.0,90.55064581917063,9.449354180829367,0.0,0.810825213929446,0.09455479656028497,0.3073748095793814,19.024429701925158,61.657131899347064,1464.7329040366542,1903.4187014401293,-438.68579740347514,0.9957395676659784,1.2939624075051865,-0.2982228398392081,1185.3903196312397,0.8058397822102241,80.92876976849671,0.8825757575757576,699.0,0.06774668630338733,46.0,0.9322533136966127,633.0,0.11742424242424243,93.0,0.938255033557047,0.8825757575757576,0.9095640858815874,0.8124891057684283,0.9074145356361851,0.8913034447975067,0.9055064581917063,0.09067738691933608,0.909322613080664,0.09449354180829368,0.9076265450266526,0.9055064581917063,0.9056421937799087,0.8124891057684281,0.9074145356361851,0.8695164691578532,0.9053158507699752,0.9055064581917063,11.839,2.084,11.625,2.0,11625.0,2000.0,2825231.0,2822070.0,315699.0,90.55064581917063,50.0,?
BaseReduzida1_weka,1,7,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-1178107808933117974,2.02104071609E7,13238.0,1471.0,1322.0,149.0,0.0,89.87083616587356,10.129163834126444,0.0,0.7964921239919963,0.10135186619045637,0.31823944317782554,20.39200044463034,63.83649769621907,1464.7329040366542,2040.3437667670999,-575.6108627304457,0.9957395676659784,1.3870453886927938,-0.39130582102681555,1165.3052627240315,0.7921857666376829,79.55752612046669,0.8977272727272727,711.0,0.10014727540500737,68.0,0.8998527245949927,611.0,0.10227272727272728,81.0,0.9127086007702182,0.8977272727272727,0.90515595162317,0.7966177069778184,0.8987899986611326,0.8744279848812363,0.8987083616587356,0.10112836433647018,0.8988716356635298,0.10129163834126445,0.8989713719310611,0.8987083616587356,0.8987694985438834,0.7966177069778184,0.8987899986611325,0.8588826303268553,0.8982380779268293,0.8987083616587356,12.483,1.556,12.140625,1.5,12140.625,1500.0,2825231.0,2822070.0,315699.0,89.87083616587356,50.0,?
BaseReduzida1_weka,1,8,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-1178107808933117974,2.0210407161E7,13238.0,1471.0,1317.0,154.0,0.0,89.53093133922502,10.469068660774983,0.0,0.7899935107073329,0.10475040100554188,0.3235349718488216,21.07578581598289,64.89874189961094,1464.7329040366542,2108.806299430582,-644.0733953939277,0.9957395676659784,1.4335868792865956,-0.4378473116206171,1155.2627342704284,0.7853587588514129,78.87190429645176,0.88510101010101,701.0,0.09278350515463918,63.0,0.9072164948453608,616.0,0.1148989898989899,91.0,0.9175392670157068,0.88510101010101,0.9010282776349613,0.7905700232740333,0.8961587524731854,0.8739776104929764,0.8953093133922502,0.10299180844587924,0.8970081915541206,0.10469068660774983,0.8961897075951593,0.8953093133922502,0.895424848023416,0.7905700232740333,0.8961587524731855,0.8551892293247145,0.8949585832619251,0.8953093133922502,12.044,1.591,11.765625,1.5625,11765.625,1562.5,2825231.0,2822070.0,315699.0,89.53093133922502,50.0,?
BaseReduzida1_weka,1,9,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-1178107808933117974,2.0210407161E7,13238.0,1471.0,1346.0,125.0,0.0,91.50237933378654,8.49762066621346,0.0,0.8295580420332347,0.08503889907804556,0.2914847784734597,17.109830662138016,58.469708228802205,1464.7329040366542,1711.7236099823706,-246.9907059457164,0.9957395676659784,1.1636462338425362,-0.16790666617655772,1213.5093993013297,0.8249554040117809,82.84851087573863,0.9027777777777778,715.0,0.07069219440353461,48.0,0.9293078055964654,631.0,0.09722222222222222,77.0,0.9370904325032765,0.9027777777777778,0.9196141479099679,0.8302073570508423,0.9160427916871215,0.8983297615359995,0.9150237933378654,0.08293820996362222,0.9170617900363778,0.0849762066621346,0.9159276528517029,0.9150237933378654,0.915119770470231,0.8302073570508423,0.9160427916871215,0.8810386275608978,0.9147457906096343,0.9150237933378654,14.594,2.843,14.25,2.25,14250.0,2250.0,2825231.0,2822070.0,315699.0,91.50237933378654,50.0,?
BaseReduzida1_weka,1,10,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-1178107808933117974,2.0210407161E7,13239.0,1470.0,1317.0,153.0,0.0,89.59183673469387,10.408163265306122,0.0,0.791131517214864,0.10414143453620393,0.32259249408995316,20.95432763576195,64.71339065116862,1463.6162914157487,2095.1303440874126,-631.5140526716639,0.9956573410991488,1.4252587374744303,-0.42960139637528155,1156.1575510064888,0.7865017353785638,78.99321412227131,0.8876262626262627,703.0,0.0943952802359882,64.0,0.9056047197640118,614.0,0.11237373737373738,89.0,0.9165580182529335,0.8876262626262627,0.9018601667735728,0.791592666208817,0.8966154911951372,0.8741051859090601,0.8959183673469387,0.10268738495666435,0.8973126150433358,0.10408163265306122,0.8966523520875502,0.8959183673469387,0.8960259306964433,0.791592666208817,0.8966154911951372,0.8558347618414771,0.8955354418227024,0.8959183673469387,18.999,2.065,17.8125,2.0625,17812.5,2062.5,2825444.0,2822283.0,315486.0,89.59183673469387,50.0,?
